,Id,Neighborhood,BedroomAbvGr,GrLivArea,YearBuilt,SalePrice
0,1,CollgCr,3,1710,2003,208500
1,2,Veenker,3,1262,1976,181500
2,3,CollgCr,3,1786,2001,223500
3,4,Crawfor,3,1717,1915,140000
4,5,NoRidge,4,2198,2000,250000
5,6,Mitchel,1,1362,1993,143000
6,7,Somerst,3,1694,2004,307000
7,8,NWAmes,3,2090,1973,200000
8,9,OldTown,2,1774,1931,129900
9,10,BrkSide,2,1077,1939,118000
10,11,Sawyer,3,1040,1965,129500
11,12,NridgHt,4,2324,2005,345000
12,13,Sawyer,2,912,1962,144000
13,14,CollgCr,3,1494,2006,279500
14,15,NAmes,2,1253,1960,157000
15,16,BrkSide,2,854,1929,132000
16,17,NAmes,2,1004,1970,149000
17,18,Sawyer,2,1296,1967,90000
18,19,SawyerW,3,1114,2004,159000
19,20,NAmes,3,1339,1958,139000
20,21,NridgHt,4,2376,2005,325300
21,22,IDOTRR,3,1108,1930,139400
22,23,CollgCr,3,1795,2002,230000
23,24,MeadowV,3,1060,1976,129900
24,25,Sawyer,3,1060,1968,154000
25,26,NridgHt,3,1600,2007,256300
26,27,NAmes,3,900,1951,134800
27,28,NridgHt,3,1704,2007,306000
28,29,NAmes,2,1600,1957,207500
29,30,BrkSide,1,520,1927,68500
30,31,IDOTRR,3,1317,1920,40000
31,32,Sawyer,3,1228,1966,149350
32,33,CollgCr,3,1234,2007,179900
33,34,NAmes,4,1700,1959,165500
34,35,NridgHt,2,1561,2005,277500
35,36,NridgHt,4,2452,2004,309000
36,37,CollgCr,3,1097,1994,145000
37,38,NAmes,3,1297,1954,153000
38,39,NAmes,3,1057,1953,109000
39,40,Edwards,2,1152,1955,82000
40,41,NAmes,3,1324,1965,160000
41,42,Timber,2,1328,1959,170000
42,43,SawyerW,2,884,1983,144000
43,44,CollgCr,3,938,1975,130250
44,45,NAmes,3,1150,1959,141000
45,46,NridgHt,2,1752,2005,319900
46,47,Mitchel,1,2149,2003,239686
47,48,Somerst,3,1656,2006,249700
48,49,OldTown,2,1452,1920,113000
49,50,Sawyer,3,955,1966,127000
50,51,Gilbert,3,1470,1997,177000
51,52,BrkSide,3,1176,1934,114500
52,53,IDOTRR,2,816,1963,110000
53,54,Veenker,0,1842,1981,385000
54,55,NAmes,3,1360,1955,130000
55,56,NAmes,3,1425,1964,180500
56,57,Somerst,3,1739,1999,172500
57,58,CollgCr,3,1720,2004,196500
58,59,StoneBr,3,2945,2006,438780
59,60,CollgCr,2,780,1972,124900
60,61,SawyerW,3,1158,2004,158000
61,62,IDOTRR,3,1111,1920,101000
62,63,NridgHt,2,1370,2006,202500
63,64,OldTown,3,1710,1921,140000
64,65,CollgCr,3,2034,1997,219500
65,66,NridgHt,4,2473,2004,317000
66,67,NAmes,3,2207,1970,180000
67,68,CollgCr,3,1479,2003,226000
68,69,OldTown,2,747,1945,80000
69,70,ClearCr,3,2287,1953,225000
70,71,NAmes,3,2223,1973,244000
71,72,Mitchel,2,845,1982,129500
72,73,Gilbert,3,1718,1998,185000
73,74,NAmes,3,1086,1954,144900
74,75,OldTown,3,1605,1915,107400
75,76,MeadowV,2,988,1973,91000
76,77,NAmes,2,952,1956,135750
77,78,BrkSide,2,1285,1948,127000
78,79,Sawyer,4,1768,1968,136500
79,80,OldTown,2,1230,1910,110000
80,81,NAmes,4,2142,1968,193500
81,82,Mitchel,2,1337,1998,153500
82,83,Somerst,3,1563,2007,245000
83,84,NAmes,3,1065,1960,126500
84,85,Gilbert,3,1474,1995,168500
85,86,NoRidge,4,2417,1991,260000
86,87,Gilbert,3,1560,2005,174000
87,88,Somerst,2,1224,2009,164500
88,89,IDOTRR,2,1526,1915,85000
89,90,CollgCr,3,990,1994,123600
90,91,NAmes,2,1040,1950,109900
91,92,NAmes,2,1235,1961,98600
92,93,Crawfor,2,964,1921,163500
93,94,OldTown,4,2291,1910,133900
94,95,CollgCr,3,1786,1997,204750
95,96,Gilbert,3,1470,1993,185000
96,97,CollgCr,3,1588,1999,214000
97,98,Edwards,3,960,1965,94750
98,99,Edwards,2,835,1920,83000
99,100,NAmes,3,1225,1959,128950
100,101,NWAmes,3,1610,1977,205000
101,102,SawyerW,3,1732,1985,178000
102,103,SawyerW,4,1535,1979,118964
103,104,CollgCr,3,1226,2009,198900
104,105,IDOTRR,4,1818,1931,169500
105,106,Somerst,3,1992,2003,250000
106,107,OldTown,2,1047,1885,100000
107,108,OldTown,2,789,1948,115000
108,109,IDOTRR,3,1517,1919,115000
109,110,NWAmes,3,1844,1977,190000
110,111,Edwards,4,1855,1954,136900
